"Your UPI will be deactivated. Click http://fake.link to verify",1
"Congratulations! You won Rs. 50,000. Reply with your UPI to claim",1
"Aadhaar KYC pending. Update immediately: http://aadhar-fake",1
"Bank alert: unauthorized debit of Rs. 2000. Call 1800-xxx-xxxx",1
"Loan approved! Send your bank details to get funds",1
"Claim your free iPhone now! Limited time offer",1
"Your account has been suspended. Verify immediately",1
"Click here to unlock your reward",1
"Win a brand new car! Just reply with your details",1
"Get rich quick with zero effort!",1
"Your PAN card will be blocked. Update now",1
"Urgent: Confirm your identity to avoid account freeze",1
"Free Netflix subscription for 1 year. Click to activate",1
"Your mobile number has won Rs. 1 lakh",1
"Alert: suspicious login detected on your account",1
"Final warning: update your KYC now",1
"Your bank account is under review. Submit documents",1
"Exclusive deal: earn Rs. 10,000 daily from home",1
"Your insurance policy is expiring. Renew now",1
"Click here to claim your cashback",1
"Your email has been selected for a prize",1
"Limited offer: buy 1 get 3 free",1
"Your SIM will be blocked. Verify details",1
"Get your free gift card today",1
"Your wallet has been credited. Click to view",1
"Your ATM card will be disabled. Update details now",1
"Claim your reward points before they expire",1
"Your account is flagged for suspicious activity",1
"Win Rs. 10,000 instantly. Just reply YES",1
"Your electricity bill is overdue. Pay now to avoid disconnection",1
"Get a free laptop by completing this survey",1
"Your KYC is incomplete. Click to finish verification",1
"Urgent: Your account will be locked in 24 hours",1
"Your mobile recharge failed. Retry now",1
"Your bank has issued a security alert",1
"Your credit score has dropped. Check now",1
"Get free access to premium content",1
"Your account is temporarily suspended",1
"Claim your free travel voucher",1
"Your wallet balance is low. Top up now",1
"Your phone number is selected for a lucky draw",1
"Your subscription has expired. Renew now",1
"Your account is inactive. Reactivate now",1
"Your email storage is full. Upgrade now",1
"Your password will expire soon. Reset now",1
"Your account is being accessed from a new device",1
"Your bank has blocked your transaction",1
"Your Aadhaar details need verification",1
"Your UPI PIN has been reset",1
"Your account is under audit",1
"Reminder: Project meeting tomorrow at 10 AM",0
"Hey bro, where are you? meeting at 6?",0
"Invoice for your purchase attached",0
"Can we reschedule our class to Friday?",0
"Your ticket to the event is attached",0
"Family photo from today's picnic",0
"Your parcel has arrived at post office",0
"Let's catch up this weekend",0
"Team lunch scheduled for Thursday",0
"Notes from today's lecture",0
"Flight details for your trip",0
"Happy birthday! Hope you have a great day",0
"Here's the recipe you asked for",0
"Reminder: pay electricity bill by 5th",0
"Meeting rescheduled to 3 PM tomorrow",0
"Your subscription is active until December",0
"Looking forward to our call next week",0
"Thanks for your feedback on the report",0
"Can you send me the updated file?",0
"Your resume looks great!",0
"Let's finalize the design tomorrow",0
"Here's the Zoom link for our call",0
"Don't forget to submit your assignment",0
"Your order has been shipped",0
"Attached is the travel itinerary",0
"Please review the attached document",0
"Your payment has been received",0
"Join us for the webinar on Friday",0
"Your appointment is confirmed",0
"Here's the agenda for tomorrow's meeting",0
"Your feedback is appreciated",0
"Let's meet at the café at 5 PM",0
"Your leave request has been approved",0
"Reminder: doctor's appointment at 4 PM",0
"Your insurance policy is active",0
"Can you share the presentation slides?",0
"Your account statement is ready",0
"Thanks for attending the workshop",0
"Your travel request has been processed",0
"Here's the link to the shared folder",0
"Your registration is successful",0
"Please find the minutes of the meeting attached",0
"Your subscription renewal is confirmed",0
"Let's connect on Monday",0
"Your feedback survey is now open",0
"Your course materials are available online",0
"Thanks for your support",0
"Your delivery is scheduled for tomorrow",0
"Please confirm your attendance",0
"Your training session starts at 10 AM",0
